,sent,noun,adj,verb,others,label
0,"(xii) cause the Indenture to be qualified under the Trust Indenture Act in connection with the registration of the Exchange Securities or Registrable Securities, as the case may be; cooperate with the Trustee and the Holders to effect such changes to the Indenture as may be required for the Indenture to be so qualified in accordance with the terms of the Trust Indenture Act; and execute, and use their commercially reasonable efforts to cause the Trustee to execute, all documents as may be required to effect such changes and all other forms and documents required to be filed with the SEC to enable the Indenture to be so qualified in a timely manner;",31,7,24,59,0
1,"As used in this Agreement, the following terms shall have the following meanings:",3,0,5,7,0
2,"(vii) in the case of a Shelf Registration, upon the written request of Holders of Registrable Securities, furnish to such Holders, without charge, at least one conformed copy of each Registration Statement and any post-effective amendment thereto (without any documents incorporated therein by reference or exhibits thereto, unless requested);",17,6,4,34,0
3,"(xiv) if reasonably requested by any Holder of Registrable Securities covered by a Shelf Registration Statement, promptly include in a Prospectus supplement or post-effective amendment such information with respect to such Holder as such Holder reasonably requests to be included therein and make all required filings of such Prospectus supplement or such post-effective amendment promptly after the Company has received notification of the matters to be so included in such filing, and",21,12,13,34,0
4,"In the event that the Company receives a Shelf Request pursuant to Section 2(b)(iii), and the Shelf Registration Statement required to be filed thereby has not become effective by the later of the Target Registration Date and (y) 90 days after delivery of such Shelf Request (such later date, the “Shelf Additional Interest Date”), then the interest rate on the Registrable Securities will be increased by (i) 0.25% per annum for the first 90-day period payable commencing from one day after the Shelf Additional Interest Date and (ii) an additional 0.25% per annum with respect to each subsequent 90-day period, in each case until the Shelf Registration Statement becomes effective, up to a maximum increase of 1.00% per annum.",47,11,10,78,0
5,pro rata,1,1,0,0,1
6,"To the extent the indemnification provided for in paragraphs (a) and (b) above is unavailable to an Indemnified Person or insufficient in respect of any losses, claims, damages or liabilities referred to therein, then each Indemnifying Person under such paragraph, in lieu of indemnifying such Indemnified Person thereunder, shall contribute to the amount paid or payable by such Indemnified Person as a result of such losses, claims, damages or liabilities (i) in such proportion as is appropriate to reflect the relative benefits received by the Company and any Guarantor from the offering of the Securities and the Exchange Securities, on the one hand, and by the Holders from receiving Securities or Exchange Securities registered under the Securities Act, on the other hand, or (ii) if the allocation provided by clause (i) is not permitted by applicable law, in such proportion as is appropriate to reflect not only the relative benefits referred to in clause (i) but also the relative fault of the Company and any Guarantor on the one hand and the Holders on the other in connection with the statements or omissions that resulted in such losses, claims, damages or liabilities, as well as any other relevant equitable considerations.",63,21,19,131,0
7,Indemnifying Person” shall have the meaning set forth in Section 5(c) hereof.,4,0,4,8,0
8,"The undersigned hereby absolutely, unconditionally and irrevocably agrees as a Guarantor (as defined in the Registration Rights Agreement, dated as of November 30, 2009 by and among the Company, a Delaware corporation, and J.P. Morgan Securities Inc., on behalf of itself and the other Initial Purchasers) to be bound by the terms and provisions of such Registration Rights Agreement.",20,3,5,41,0
9,Annex A  ,2,0,0,1,0
